"","�..","CreationDate","DeletionDate","Score","ViewCount","Body","Title","Tags","AnswerCount","CommentCount","FavoriteCount","ClosedDate","CommunityOwnedDate","AcceptedAnswerId","CreationDateComparison","CreationTime"
"11",11,"2009-06-23 19:26:45",NA,1587,1451923,"<p>How do I get the website URL?</p>

<p>Not the URL as taken from a link. On the loading page, I want to get the full, current URL of the current web page and store its value in a variable.</p>
","Get current URL in web browser","<javascript><url><window.location>",12,2,271,"","",1034642,320,"19:26:45"
"12",12,"2009-06-04 11:59:50",NA,2596,1444251,"<p>Is there something in JavaScript similar to <code>@import</code> in CSS that allows you to include a JavaScript file inside another JavaScript file?</p>
","Include a JavaScript file in another JavaScript file?","<javascript><file><import><include>",38,7,859,"","",950146,301,"11:59:50"
"13",13,"2008-10-07 13:03:18",NA,4438,1408056,"<p>In jQuery, it is possible to toggle the visibility of an element, using the functions <code>.hide()</code>, <code>.show()</code> or <code>.toggle()</code>.</p>

<p>Using jQuery, how would you test if an element is visible or hidden?</p>
","Checking if an element is hidden","<javascript><jquery><dom><visibility>",37,7,646,"","",178450,61,"13:03:18"
"14",14,"2008-10-12 20:06:43",NA,1461,1362568,"<p>How can I change a class of an HTML element in response to an <code>onClick</code> event using JavaScript?</p>
","Change an element's class with JavaScript","<javascript><html><dom>",23,2,458,"","",196038,66,"20:06:43"
"15",15,"2008-11-20 19:44:05",NA,1609,1351250,"<p>I have a layout similar to this:</p>

<pre><code>&lt;div id=""...""&gt;&lt;img src=""...""&gt;&lt;/div&gt;
</code></pre>

<p>and would like to use a jQuery selector to select the child <code>img</code> inside the <code>div</code> on click.</p>

<p>To get the <code>div</code>, I've got this selector:</p>

<pre><code>$(this)
</code></pre>

<p>How can I get the child <code>img</code> using a selector?</p>
","$(this) selector and children?","<javascript><jquery><jquery-selectors><this>",13,0,456,"","",306904,105,"19:44:05"
"16",16,"2008-10-25 22:14:40",NA,1954,1315501,"<p>What is the most concise and efficient way to find out if a JavaScript array contains an obj?</p>

<p>This is the only way I know to do it:</p>

<pre><code>function contains(a, obj) {
    for (var i = 0; i &lt; a.length; i++) {
        if (a[i] === obj) {
            return true;
        }
    }
    return false;
}
</code></pre>

<p>Is there a better and more concise way to accomplish this?</p>

<p>This is very closely related to Stack Overflow question <em><a href=""http://stackoverflow.com/questions/143847/best-way-to-find-an-item-in-a-javascript-array"">Best way to find an item in a JavaScript Array?</a></em> which addresses finding objects in an array using <code>indexOf</code>.</p>
","How do I check if an array includes an object in JavaScript?","<javascript><arrays><browser>",32,5,377,"","",1473742,79,"22:14:40"
"17",17,"2011-02-08 16:34:03",NA,1056,1267932,"<p>I want to parse a JSON string in JavaScript. The response is something like</p>

<pre><code>var response = '{""result"":true,""count"":1}';
</code></pre>

<p>How can I get the values <code>result</code> and <code>count</code> from this?</p>
","Parse JSON in JavaScript?","<javascript><json><parsing>",16,0,266,"2015-07-18 01:46:34","",4935684,915,"16:34:03"
"18",18,"2008-10-21 09:29:33",NA,2209,1266751,"<p>How can I get a timestamp in JavaScript?</p>

<p>Something similar to Unix's timestamp, that is, a single number that represents the current time and date. Either as a number or a string.</p>
","How do you get a timestamp in JavaScript?","<javascript><date><datetime><timestamp><unix-timestamp>",32,0,362,"","",221297,75,"09:29:33"
"19",19,"2008-08-20 14:21:13",NA,1669,1234878,"<p>What's the cleanest, most effective way to validate decimal numbers in JavaScript?</p>

<p>Bonus points for:</p>

<ol>
<li>Clarity. Solution should be clean and simple.</li>
<li>Cross-platform.</li>
</ol>

<p>Test cases:</p>

<pre><code> 01. IsNumeric('-1') =&gt; true
 02. IsNumeric('-1.5') =&gt; true
 03. IsNumeric('0') =&gt; true
 04. IsNumeric('0.42') =&gt; true
 05. IsNumeric('.42') =&gt; true
 06. IsNumeric('99,999') =&gt; false
 07. IsNumeric('0x89f') =&gt; false
 08. IsNumeric('#abcdef')=&gt; false
 09. IsNumeric('1.2.3') =&gt; false
 10. IsNumeric('') =&gt; false
 11. IsNumeric('blah') =&gt; false
</code></pre>
","Validate decimal numbers in JavaScript - IsNumeric()","<javascript><validation><numbers>",39,10,643,"","2013-07-09 23:10:44",1830844,13,"14:21:13"
"20",20,"2009-02-27 19:53:27",NA,1487,1203928,"<p>I have two radio buttons and want to post the value of the selected one.
How can I get the value with jQuery?</p>

<p>I can get all of them like this:</p>

<pre><code>$(""form :radio"")
</code></pre>

<p>How do I know which one is selected?</p>
","How can I know which radio button is selected via jQuery?","<javascript><jquery><jquery-selectors><radio-button>",28,0,250,"","",596369,204,"19:53:27"
"21",21,"2009-01-02 06:42:54",NA,1071,1200116,"<p>I am using jQuery. How do I get the path of the current URL and assign it to a variable?</p>

<p>Example URL:</p>

<pre><code>http://localhost/menuname.de?foo=bar&amp;amp;number=0
</code></pre>
","Get current URL in JavaScript?","<javascript><jquery><url><path>",25,4,275,"","",406208,148,"06:42:54"
"22",22,"2011-03-23 11:55:31",NA,1258,1176594,"<p>How can I refresh a page with jQuery?</p>
","How can I refresh a page with jQuery?","<javascript><jquery><refresh><reload>",14,2,230,"","",5404869,958,"11:55:31"
"23",23,"2013-11-17 19:29:06",NA,710,1162423,"<p>I am trying to do authorization using <a href=""http://en.wikipedia.org/wiki/JavaScript"">JavaScript</a> by connecting to the <a href=""http://en.wikipedia.org/wiki/Representational_state_transfer#RESTful_web_services"">RESTful</a> <a href=""http://en.wikipedia.org/wiki/Application_programming_interface"">API</a> built in <a href=""https://en.wikipedia.org/wiki/Flask_%28web_framework%29"">Flask</a>.</p>

<p>As result I get:</p>

<pre><code>XMLHttpRequest cannot load http://myApiUrl/login. No
'Access-Control-Allow-Origin' header is present on the requested
resource. Origin 'null' is therefore not allowed access.
</code></pre>

<p>I know that the API or remote resource must set the header, but why did it work when I tested authorization in the Chrome extension POSTMAN?</p>

<p>This is the request code:</p>

<pre><code>$.ajax({
    type: ""POST"",
    dataType: 'text',
    url: api,
    username: 'user',
    password: 'pass',
    crossDomain : true,
    xhrFields: {
        withCredentials: true
    }
})
    .done(function( data ) {
        console.log(""done"");
    })
    .fail( function(xhr, textStatus, errorThrown) {
        alert(xhr.responseText);
        alert(textStatus);
    });
</code></pre>
","""No 'Access-Control-Allow-Origin' header is present on the requested resource""","<javascript><cors><restful-authentication><same-origin-policy><flask-restless>",13,6,189,"","",20035319,1928,"19:29:06"
"24",24,"2009-06-29 05:44:03",NA,998,1160543,"<p>I noticed that JavaScript's <code>new Date()</code> function is very smart in accepting dates in several formats.</p>

<pre><code>Xmas95 = new Date(""25 Dec, 1995 23:15:00"")
Xmas95 = new Date(""2009 06 12,12:52:39"")
Xmas95 = new Date(""20 09 2006,12:52:39"")
</code></pre>

<p>I could not find documentation anywhere showing all the valid string formats while calling <code>new Date()</code> function.</p>

<p>This is for converting a string to a date. If we look at the opposite side, that is, converting a date object to a string, until now I was under the impression that JavaScript doesn't have a built-in API to format a date object into a string.</p>

<blockquote>
  <p><strong>Editor's note:</strong> The following approach is the asker's attempt that worked on a particular browser but does <em>not</em> work in general; <strong>see the answers on this page</strong> to see some actual solutions.</p>
</blockquote>

<p>Today, I played with the <code>toString()</code> method on the date object and surprisingly it serves the purpose of formatting date to strings.</p>

<pre><code>var d1 = new Date();
d1.toString('yyyy-MM-dd');       //Returns ""2009-06-29"" in Internet Explorer, but not Firefox or Chrome
d1.toString('dddd, MMMM ,yyyy')  //Returns ""Monday, June 29,2009"" in Internet Explorer, but not Firefox or Chrome
</code></pre>

<p>Also here I couldn't find any documentation on all the ways we can format the date object into a string.</p>

<p>Where is the documentation which lists the format specifiers supported by the <code>Date()</code> object?</p>
","Where can I find documentation on formatting a date in JavaScript?","<javascript><datetime><date>",35,5,329,"","2013-02-04 10:48:53",1056730,326,"05:44:03"
"25",25,"2008-09-05 16:10:11",NA,1758,1147744,"<p>How can an email address be validated in JavaScript?</p>
","Validate email address in JavaScript?","<javascript><regex><validation><email><email-validation>",48,10,529,"","2013-09-11 02:21:40",46181,29,"16:10:11"
"26",26,"2009-10-29 12:02:09",NA,1275,1122674,"<p>How can I get a drop-down list selected text in jQuery, not using the selected value?</p>
","Get selected text from a drop-down list (select box) using jQuery","<javascript><jquery><drop-down-menu><jquery-selectors>",23,1,207,"","",1643247,448,"12:02:09"
"27",27,"2008-09-30 17:17:45",NA,1308,1115632,"<p>I saw this <a href=""http://stackoverflow.com/questions/10230/checking-for-string-contents-string-length-vs-empty-string"">thread</a>, but I didn't see a JavaScript specific example. Is there a simple <code>string.Empty</code> available in JavaScript, or is it just a case of checking for <code>""""</code>?</p>
","How do you check for an empty string in JavaScript?","<javascript><null><is-empty>",33,1,266,"","",154068,54,"17:17:45"
"28",28,"2009-07-17 17:53:46",NA,1593,1096785,"<p>I have this string:</p>

<pre>
Test abc test test abc test test
test abc test test abc 
</pre>

<p>Doing</p>

<pre><code>str = str.replace('abc', '');
</code></pre>

<p>seems to only remove the first occurrence of <code>abc</code> in the string above. How can I replace <strong>all</strong> occurrences of it?</p>
","Replacing all occurrences of a string in JavaScript","<javascript>",30,4,328,"","",17606289,344,"17:53:46"
"29",29,"2009-05-15 10:30:24",NA,947,1087986,"<p>How do I create a <code>div</code> element in <strong>jQuery</strong>?</p>
","Creating a div element in jQuery","<javascript><jquery><html><append><jquery-append>",22,1,255,"","",867981,281,"10:30:24"
"30",30,"2008-12-09 00:20:05",NA,1647,1061554,"<p>How do I append to an array in JavaScript?</p>
","Appending to array","<javascript><arrays><append>",18,0,179,"","2008-12-09 00:23:17",351421,124,"00:20:05"
"31",31,"2009-09-12 05:21:54",NA,1261,1051644,"<pre><code>$input.disabled = true;
</code></pre>

<p>or </p>

<pre><code>$input.disabled = ""disabled"";
</code></pre>

<p>Which is the standard way? And, conversely, how do you enable a disabled input?</p>
","Disable/enable an input with jQuery?","<javascript><jquery><html-input>",8,2,200,"","",1414366,401,"05:21:54"
"32",32,"2011-02-05 15:52:13",NA,891,1027620,"<p>I'm trying to open a <a href=""http://en.wikipedia.org/wiki/Uniform_Resource_Locator"">URL</a> in a new tab, as opposed to a popup window. I've seen related questions where the responses would look something like:</p>

<pre><code>window.open(url,'_blank');
window.open(url);
</code></pre>

<p>But none of them worked for me, the browser still tried to open a popup window.</p>
","Open a URL in a new tab (and not a new window) using JavaScript","<javascript>",25,12,171,"","",4907854,912,"15:52:13"
"33",33,"2009-10-07 11:39:02",NA,911,986192,"<p>How do I get current date in JavaScript?</p>
","How to get current date in JavaScript?","<javascript><date>",28,6,192,"","",4929629,426,"11:39:02"
"34",34,"2009-06-04 14:41:10",NA,768,969979,"<p>Is there a better way to engineer a <code>sleep</code> in JavaScript than the following <code>pausecomp</code>  function (<a href=""http://www.sean.co.uk/a/webdesign/javascriptdelay.shtm"">taken from here</a>)?</p>

<pre><code>function pausecomp(millis)
 {
  var date = new Date();
  var curDate = null;
  do { curDate = new Date(); }
  while(curDate-date &lt; millis);
}
</code></pre>

<p>This is not a duplicate of <a href=""http://stackoverflow.com/questions/758688/sleep-in-javascript"">Sleep in Javascript</a>; I want a real sleep in the middle of a function, and not a delay before a piece of code executes.</p>
","What do I do if I want a JavaScript version of sleep()?","<javascript><sleep>",52,26,136,"","2013-10-15 12:40:39",951057,301,"14:41:10"
"35",35,"2008-10-04 21:33:10",NA,1459,967897,"<p>What is the best method in jQuery to add an additional row to a table as the last row?</p>

<p>Is this acceptable?</p>

<pre><code>$('#myTable').append('&lt;tr&gt;&lt;td&gt;my data&lt;/td&gt;&lt;td&gt;more data&lt;/td&gt;&lt;/tr&gt;');
</code></pre>

<p>Are there limitations to what you can add to a table like this (such as inputs, selects, number of rows)?</p>
","Add table row in jQuery","<javascript><jquery><html-table>",26,3,371,"","",171049,58,"21:33:10"
"36",36,"2010-04-15 18:12:16",NA,780,960129,"<p>How do I determine if variable is <code>undefined</code> or <code>null</code>?  My code is as follows:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var EmpName = $(""div#esd-names div#name"").attr('class');
if(EmpName == 'undefined'){
  //DO SOMETHING
};</code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div Id=""esd-names""&gt;
  &lt;div Id=""name""&gt;&lt;/div&gt;
&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>But if I do this, the JavaScript interpreter halts execution.</p>
","How to determine if variable is 'undefined' or 'null'?","<javascript><jquery><variables><null><undefined>",15,0,166,"","",2647888,616,"18:12:16"
"37",37,"2008-12-02 02:37:08",NA,1525,952425,"<p>How do you safely encode a URL using JavaScript such that it can be put into a GET string?</p>

<pre><code>var myUrl = ""http://example.com/index.html?param=1&amp;anotherParam=2"";
var myOtherUrl = ""http://example.com/index.html?url="" + myUrl;
</code></pre>

<p>I assume that you need to encode the <code>myUrl</code> variable on that second line?</p>
","Encode URL in JavaScript?","<javascript><url><encoding>",9,3,358,"","",332888,117,"02:37:08"
"38",38,"2009-08-05 09:08:39",NA,1496,948709,"<p>Is there a way to empty an array and if so possibly with <code>.remove()</code>?</p>

<p>For instance, </p>

<pre><code>A = [1,2,3,4];
</code></pre>

<p>How can I empty that?</p>
","How do I empty an array in JavaScript?","<javascript><arrays>",18,1,333,"","",1232046,363,"09:08:39"
"39",39,"2008-09-23 16:26:09",NA,2774,934518,"<p>What is the most efficient way to clone a JavaScript object? I've seen <code>obj = eval(uneval(o));</code> being used, but <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/uneval"">that's non-standard and only supported by Firefox</a>. I've done things like <code>obj = JSON.parse(JSON.stringify(o));</code> but question the efficiency. I've also seen recursive copying functions with various flaws.</p>

<p>I'm surprised no canonical solution exists.</p>
","What is the most efficient way to clone an object?","<javascript><object><clone>",40,9,928,"","2013-05-06 20:45:28",122704,47,"16:26:09"
"40",40,"2008-10-03 10:22:17",NA,1886,903884,"<p>I would like to upload a file asynchronously with jQuery. This is my HTML:</p>

<pre><code>&lt;span&gt;File&lt;/span&gt;
&lt;input type=""file"" id=""file"" name=""file"" size=""10""/&gt;
&lt;input id=""uploadbutton"" type=""button"" value=""Upload""/&gt;
</code></pre>

<p>And here my <code>Jquery</code> code:</p>

<pre><code>$(document).ready(function () {
    $(""#uploadbutton"").click(function () {
        var filename = $(""#file"").val();

        $.ajax({
            type: ""POST"",
            url: ""addFile.do"",
            enctype: 'multipart/form-data',
            data: {
                file: filename
            },
            success: function () {
                alert(""Data Uploaded: "");
            }
        });
    });
});
</code></pre>

<p>Instead of the file being uploaded, I am only getting the filename. What can I do to fix this problem?</p>

<h3>Current Solution</h3>

<p>I am using the <a href=""http://malsup.com/jquery/form/#code-samples"">jQuery Form Plugin</a> to upload files.</p>
","How can I upload files asynchronously?","<javascript><jquery><ajax><asynchronous><upload>",24,9,1166,"","",NA,57,"10:22:17"
"41",41,"2008-12-30 13:09:05",NA,1605,900757,"<p>What is the best way to copy text to the clipboard? (multi-browser)</p>

<p>I have tried: </p>

<pre><code>function copyToClipboard(text) {
    if (window.clipboardData) { // Internet Explorer
        window.clipboardData.setData(""Text"", text);
    } else {  
        unsafeWindow.netscape.security.PrivilegeManager.enablePrivilege(""UniversalXPConnect"");  
        const clipboardHelper = Components.classes[""@mozilla.org/widget/clipboardhelper;1""].getService(Components.interfaces.nsIClipboardHelper);  
        clipboardHelper.copyString(text);
    }
}
</code></pre>

<p>but in Internet Explorer it gives a syntax error. In Firefox, it says <code>unsafeWindow is not defined</code>.</p>

<p><strong>Edit</strong> A nice trick without flash: <a href=""http://stackoverflow.com/questions/17527870/how-does-trello-access-the-users-clipboard"">How does Trello access the user&#39;s clipboard?</a></p>
","How do I copy to the clipboard in JavaScript?","<javascript><clipboard><copy-paste>",32,7,535,"","",NA,145,"13:09:05"
"42",42,"2010-03-01 04:09:28",NA,1267,898706,"<p>Are there any good resources to get started with Node.JS? Any good tutorials, blogs or books?</p>

<p>Of course, I have visited its official website <a href=""http://nodejs.org/"">http://nodejs.org/</a>, but I didn't think the documentation they have is a good starting point.</p>
","How do I get started with Node.js","<javascript><node.js>",3,1,3945,"","2012-10-02 22:04:34",NA,571,"04:09:28"
"43",43,"2010-08-23 23:28:26",NA,426,859698,"<p>How can I format a JavaScript date object to print as ""10-Aug-2010""?</p>
","How to format a JavaScript date","<javascript><date><date-format><time-format>",29,1,65,"","",3552493,746,"23:28:26"
"44",44,"2009-01-30 16:12:17",NA,436,847888,"<p>I have a select control, and in a javascript variable I have a text string.</p>

<p>Using jQuery I want to set the selected element of the select control to be the item with the text description I have (as opposed to the value, which I don't have).</p>

<p>I know setting it by value is pretty trivial. e.g.</p>

<pre><code>$(""#my-select"").val(myVal);
</code></pre>

<p>But I'm a bit stumped on doing it via the text description. I guess there must be a way of getting the value out from the text description, but my brain is too Friday afternoon-ed to be able to work it out.</p>
","jQuery - setting the selected value of a select control via its text description","<javascript><jquery>",18,1,91,"","",496126,176,"16:12:17"
"45",45,"2009-06-08 18:24:54",NA,611,846437,"<p>I have been reading online and some places say it isn't possible, some say it is and then give an example and others refute the example, etc. </p>

<ol>
<li><p>How do I declare a 2 dimensional array in JavaScript? (assuming it's possible) </p></li>
<li><p>How would I access its members? (<code>myArray[0][1]</code> or <code>myArray[0,1]</code>?)</p></li>
</ol>
","How can I create a two dimensional array in JavaScript?","<javascript><arrays><multidimensional-array>",28,2,141,"","",966234,305,"18:24:54"
"46",46,"2010-08-02 17:53:29",NA,1067,840297,"<p>What is the most appropriate way to test if a variable is undefined in JavaScript? I've seen several possible ways:</p>

<pre><code>if (window.myVariable)
</code></pre>

<p>Or</p>

<pre><code>if (typeof(myVariable) != ""undefined"")
</code></pre>

<p>Or</p>

<pre><code>if (myVariable) //This throws an error if undefined. Should this be in Try/Catch?
</code></pre>
","How to check for ""undefined"" in JavaScript?","<javascript><undefined>",17,6,333,"2014-10-10 13:59:07","",3390426,725,"17:53:29"
"47",47,"2008-10-16 10:57:45",NA,2735,813623,"<p>Say I create an object as follows:</p>

<pre><code>var myObject = {""ircEvent"": ""PRIVMSG"", ""method"": ""newURI"", ""regex"": ""^http://.*""};
</code></pre>

<p>What is the best way to remove the property <code>regex</code> to end up with new <code>myObject</code> as follows?</p>

<pre><code>var myObject = {""ircEvent"": ""PRIVMSG"", ""method"": ""newURI""};
</code></pre>
","How do I remove a property from a JavaScript object?","<javascript><object-properties>",13,0,518,"","",208106,70,"10:57:45"
"48",48,"2008-10-07 18:17:33",NA,772,810905,"<p>How can you change the href for a hyperlink using jQuery?</p>
","How to change the href for a hyperlink using jQuery","<javascript><jquery><hyperlink>",7,1,163,"","",179717,61,"18:17:33"
"49",49,"2008-12-11 14:19:49",NA,3621,801590,"<p>I'm using <a href=""http://en.wikipedia.org/wiki/JSLint"">JSLint</a> to go through JavaScript, and it's returning many suggestions to replace <code>==</code> (two equals signs) with <code>===</code> (three equals signs) when doing things like comparing <code>idSele_UNVEHtype.value.length == 0</code> inside of an <code>if</code> statement.</p>

<p>Is there a performance benefit to replacing <code>==</code> with <code>===</code>? </p>

<p>Any performance improvement would be welcomed as many comparison operators exist.</p>

<p>If no type conversion takes place, would there be a performance gain over <code>==</code>?</p>
","Does it matter which equals operator (== vs ===) I use in JavaScript comparisons?","<javascript><operators><equality><equality-operator><identity-operator>",36,26,1227,"","",359509,126,"14:19:49"
"50",50,"2009-03-04 12:53:02",NA,1141,800410,"<p>I'm looking for a good JavaScript equivalent of the C/PHP <code>printf()</code> or for C#/Java programmers, <code>String.Format()</code> (<code>IFormatProvider</code> for .NET).</p>

<p>My basic requirement is a thousand separator format for numbers for now, but something that handles lots of combinations (including dates) would be good.</p>

<p>I realize Microsoft's <a href=""http://en.wikipedia.org/wiki/Ajax_%28programming%29"">Ajax</a> library provides a version of <code>String.Format()</code>, but we don't want the entire overhead of that framework.</p>
","JavaScript equivalent to printf/string.format","<javascript><printf><string.format>",42,2,306,"2016-02-26 07:55:00","2013-08-01 18:14:20",610415,209,"12:53:02"
"51",51,"2009-06-11 08:32:49",NA,459,799393,"<p>I have a URL with a parameter as follows,</p>

<blockquote>
  <p>www.test.com/t.html?a=1&amp;b=3&amp;c=m2-m3-m4-m5 </p>
</blockquote>

<p>I need to get the whole value of <code>c</code>. I tried to read the URL, but I got only <code>m2</code>. How do I do this using JavaScript?</p>
","How to get the value from the URL parameter?","<javascript><url>",35,3,147,"","",979995,308,"08:32:49"
"52",52,"2008-09-30 21:32:09",NA,700,790277,"<p>I have one text input and one button (see below). How can I use JavaScript to <strong>trigger the button's click event</strong> when the <kbd>Enter</kbd> key is pressed inside the text box?</p>

<p>There is already a different submit button on my current page, so I can't simply make the button a submit button. And, I <em>only</em> want the <kbd>Enter</kbd> key to click this specific button if it is pressed from within this one text box, nothing else.</p>

<pre><code>&lt;input type=""text"" id=""txtSearch"" /&gt;
&lt;input type=""button"" id=""btnSearch"" value=""Search"" onclick=""doSomething();"" /&gt;
</code></pre>
","Trigger a button click with JavaScript on the Enter key in a text box","<javascript><button><onclick><onkeypress>",21,3,162,"","",155263,54,"21:32:09"
"53",53,"2008-10-13 04:06:34",NA,834,789223,"<p>All right, say I have this:</p>

<pre><code>&lt;select id='list'&gt;
    &lt;option value='1'&gt;Option A&lt;/option&gt;
    &lt;option value='2'&gt;Option B&lt;/option&gt;
    &lt;option value='3'&gt;Option C&lt;/option&gt;
&lt;/select&gt;
</code></pre>

<p>What would the selector look like if I wanted to get ""Option B"" when I have the value '2'?</p>

<p>Please note that this is not asking how to get the <em>selected</em> text value, but just any one of them, whether selected or not, depending on the value attribute. I tried:</p>

<pre><code>$(""#list[value='2']"").text();
</code></pre>

<p>But it is not working.</p>
","jQuery get specific option tag text","<javascript><jquery><drop-down-menu><jquery-selectors>",18,2,171,"","",196687,67,"04:06:34"
